lab_ID,C14_age,cal_age,error,reservoir,depth
1,NA,-53,1,NA,0
2,NA,247,42,NA,44.5
3,NA,731,63,NA,95
4,NA,824,97,NA,114
5,NA,1205,32,NA,161.5
6,NA,1386,23,NA,195
7,NA,1596,70,NA,247.75
8,NA,1813,97,NA,277.14
9,NA,1932,18,NA,296.63
10,NA,2169,20,NA,321.4
11,NA,2472,32,NA,361.15
12,NA,2747,59,NA,418.2
13,NA,3116,94,NA,456.7
14,NA,3402,22,NA,495.7
15,NA,3516,25,NA,518.46
16,NA,3870,42,NA,580.96
17,NA,4276,44,NA,644.95
18,NA,4910,40,NA,697.91
19,NA,5032,111,NA,763.45
20,NA,5392,30,NA,773.65
21,NA,5444,39,NA,802.85
22,NA,5913,36,NA,865.09
23,NA,6078,60,NA,882.48
24,NA,6353,35,NA,916.76
25,NA,6601,34,NA,940.95
26,NA,6785,48,NA,965.49
27,NA,6869,69,NA,988.8
28,NA,7217,133,NA,1016.72
29,NA,7750,119,NA,1036.45
30,NA,8132,48,NA,1054.68
31,NA,8385,61,NA,1078.45
32,NA,8501,52,NA,1094.83
33,NA,9558,50,NA,1121.92
34,NA,9806,91,NA,1170.06
35,NA,11128,111,NA,1216.36
36,NA,11627,128,NA,1246.34
