"","lab_ID","C14_age","cal_age","error","reservoir","depth"
"1","YOKI-1-1",NA,23,19,NA,1.1
"2","YOKI-4-9",NA,56,4,NA,4.9
"3","YOKI-9-7",NA,62,1,NA,9.7
"4","YOKI-22-5",NA,135,3,NA,22.5
"5","YOKI-51-9",NA,238,4,NA,51.9
"6","YOKI-61-2",NA,331,6,NA,61.2
"7","YOKI-67-4",NA,341,3,NA,67.4
"8","YOKI-76",NA,394,3,NA,76
"9","YOKI-94-4",NA,463,2,NA,94.4
"10","YOKI-109-9",NA,537,4,NA,109.9
"11","YOKI-120-3",NA,589,3,NA,120.3
"12","YOKI-128",NA,616,4,NA,128
"13","YOKI-145-5",NA,720,6,NA,145.5
"14","YOKI-157-9",NA,835,7,NA,157.9
"15","YOKI-178-46",NA,943,7,NA,178.46
"16","YOKI-186-93",NA,1003,5,NA,186.93
"17","YOKI-200-61",NA,1069,10,NA,200.61
"18","YOK-I-204-4",NA,1085,9,NA,204.4
"19","YOKI-208-04",NA,1098,10,NA,208.04
"20","YOKI-211-41",NA,1173,15,NA,211.41
"21","YOKI-216-41",NA,1197,8,NA,216.57
"22","YOKI-222-48",NA,1209,10,NA,222.48
"23","YOKI-229-67",NA,1223,13,NA,229.67
"24","YOKI-242-52",NA,1295,7,NA,242.52
"25","YOKI-247-67",NA,1309,7,NA,247.67
"26","YOKI-253-68",NA,1339,8,NA,253.68
"27","YOKI-276-4",NA,1431,9,NA,276.4
"28","YOKI-294-6",NA,1560,10,NA,294.6
"29","YOKI-300",NA,1561,17,NA,300
"30","YOKI-313-9",NA,1583,9,NA,313.9
"31","YOKI-324-4",NA,1642,7,NA,324.4
"32","YOKI-333-4",NA,1677,15,NA,333.4
"33","YOKI-340-4",NA,1728,13,NA,340.4
"34","YOKI-360-6",NA,1842,14,NA,360.6
"35","YOKI-368-6",NA,1849,11,NA,368.6
"36","YOKI-378-9",NA,1920,13,NA,378.9
"37","YOKI-383-8",NA,1928,11,NA,383.8
"38","YOKI-403-3",NA,2006,10,NA,403.3
"39","YOKI-414-9",NA,2036,11,NA,414.9
"40","YOKI-444-3",NA,2212,17,NA,444.3
