ID,Depth(mm),Age(yrBP),2sigmaerrors,Note
,0,-53,,
,44.50,247,42,
,95.00,731,63,
,114.00,824,97,centerpointofisochron
,161.50,1205,32,
,195.00,1386,23,
,247.75,1596,70,
,277.14,1813,97,
,296.63,1932,18,
,321.40,2169,20,
,361.15,2472,32,
,418.20,2747,59,
,456.70,3116,94,centerpointofisochron
,495.70,3402,22,
,518.46,3516,25,
,580.96,3870,42,
,644.95,4276,44,
,697.91,4910,40,
,763.45,5032,111,centerpointofisochron
,773.65,5392,30,
,802.85,5444,39,
,865.09,5913,36,
,882.48,6078,60,
,916.76,6353,35,
,940.95,6601,34,
,965.49,6785,48,
,988.80,6869,69,
,1016.72,7217,133,
,1036.45,7750,119,
,1054.68,8132,48,
,1078.45,8385,61,
,1094.83,8501,52,
,1121.92,9558,50,
,1170.06,9806,91,
,1216.36,11128,111,
,1246.34,11627,128,
